ID	SENTENCE	BLOCK	PATTERN_TYPE	ACTUAL	ACCEPTABLE
8892	I like Harrison Ford , and ladies too .	11	andtoo-actors-name	NR	Y
8893	I like ladies , and Harrison Ford too .	11	andtoo-actors-name	NR*	Y
8894	I like Harrison Ford , and actors too .	11	andtoo-actors-name	<	N
8895	I like actors , and Harrison Ford too .	11	andtoo-actors-name	>	N
8896	I like Sean Connery , and mothers too .	12	andtoo-actors-name	NR	Y
8897	I like mothers , and Sean Connery too .	12	andtoo-actors-name	NR*	Y
8898	I like Sean Connery , and actors too .	12	andtoo-actors-name	<	N
8899	I like actors , and Sean Connery too .	12	andtoo-actors-name	>	N
8900	I like Sean Connery , and girls too .	13	andtoo-actors-name	NR	Y
8901	I like girls , and Sean Connery too .	13	andtoo-actors-name	NR*	Y
8902	I like Sean Connery , and actors too .	13	andtoo-actors-name	<	N
8903	I like actors , and Sean Connery too .	13	andtoo-actors-name	>	N
8904	I like Sean Connery , and women too .	14	andtoo-actors-name	NR	Y
8905	I like women , and Sean Connery too .	14	andtoo-actors-name	NR*	Y
8906	I like Sean Connery , and actors too .	14	andtoo-actors-name	<	N
8907	I like actors , and Sean Connery too .	14	andtoo-actors-name	>	N
8908	I like Sean Connery , and ladies too .	15	andtoo-actors-name	NR	Y
8909	I like ladies , and Sean Connery too .	15	andtoo-actors-name	NR*	Y
8910	I like Sean Connery , and actors too .	15	andtoo-actors-name	<	N
8911	I like actors , and Sean Connery too .	15	andtoo-actors-name	>	N
8912	I do not like huskies , I prefer cats .	0	prefer-dogs	NR	Y
8913	I do not like cats , I prefer huskies .	0	prefer-dogs	NR*	Y
8914	I do not like huskies , I prefer dogs .	0	prefer-dogs	<	N
8915	I do not like dogs , I prefer huskies .	0	prefer-dogs	>	N
8916	I do not like huskies , I prefer hamsters .	1	prefer-dogs	NR	Y
8917	I do not like hamsters , I prefer huskies .	1	prefer-dogs	NR*	Y
8918	I do not like huskies , I prefer dogs .	1	prefer-dogs	<	N
8919	I do not like dogs , I prefer huskies .	1	prefer-dogs	>	N
8920	I do not like huskies , I prefer parrots .	2	prefer-dogs	NR	Y
8921	I do not like parrots , I prefer huskies .	2	prefer-dogs	NR*	Y
8922	I do not like huskies , I prefer dogs .	2	prefer-dogs	<	N
8923	I do not like dogs , I prefer huskies .	2	prefer-dogs	>	N
8924	I do not like huskies , I prefer birds .	3	prefer-dogs	NR	Y
8925	I do not like birds , I prefer huskies .	3	prefer-dogs	NR*	Y
8926	I do not like huskies , I prefer dogs .	3	prefer-dogs	<	N
8927	I do not like dogs , I prefer huskies .	3	prefer-dogs	>	N
8928	I do not like bobtails , I prefer cats .	4	prefer-dogs	NR	Y
8929	I do not like cats , I prefer bobtails .	4	prefer-dogs	NR*	Y
8930	I do not like bobtails , I prefer dogs .	4	prefer-dogs	<	N
8931	I do not like dogs , I prefer bobtails .	4	prefer-dogs	>	N
8932	I do not like bobtails , I prefer hamsters .	5	prefer-dogs	NR	Y
8933	I do not like hamsters , I prefer bobtails .	5	prefer-dogs	NR*	Y
8934	I do not like bobtails , I prefer dogs .	5	prefer-dogs	<	N
8935	I do not like dogs , I prefer bobtails .	5	prefer-dogs	>	N
8936	I do not like bobtails , I prefer parrots .	6	prefer-dogs	NR	Y
8937	I do not like parrots , I prefer bobtails .	6	prefer-dogs	NR*	Y
8938	I do not like bobtails , I prefer dogs .	6	prefer-dogs	<	N
8939	I do not like dogs , I prefer bobtails .	6	prefer-dogs	>	N
8940	I do not like bobtails , I prefer birds .	7	prefer-dogs	NR	Y
8941	I do not like birds , I prefer bobtails .	7	prefer-dogs	NR*	Y
8942	I do not like bobtails , I prefer dogs .	7	prefer-dogs	<	N
8943	I do not like dogs , I prefer bobtails .	7	prefer-dogs	>	N
8944	I do not like bulldogs , I prefer cats .	8	prefer-dogs	NR	Y
8945	I do not like cats , I prefer bulldogs .	8	prefer-dogs	NR*	Y
8946	I do not like bulldogs , I prefer dogs .	8	prefer-dogs	<	N
8947	I do not like dogs , I prefer bulldogs .	8	prefer-dogs	>	N
8948	I do not like bulldogs , I prefer hamsters .	9	prefer-dogs	NR	Y
8949	I do not like hamsters , I prefer bulldogs .	9	prefer-dogs	NR*	Y
8950	I do not like bulldogs , I prefer dogs .	9	prefer-dogs	<	N
8951	I do not like dogs , I prefer bulldogs .	9	prefer-dogs	>	N
8952	I do not like bulldogs , I prefer parrots .	10	prefer-dogs	NR	Y
8953	I do not like parrots , I prefer bulldogs .	10	prefer-dogs	NR*	Y
8954	I do not like bulldogs , I prefer dogs .	10	prefer-dogs	<	N
8955	I do not like dogs , I prefer bulldogs .	10	prefer-dogs	>	N
8956	I do not like bulldogs , I prefer birds .	11	prefer-dogs	NR	Y
8957	I do not like birds , I prefer bulldogs .	11	prefer-dogs	NR*	Y
8958	I do not like bulldogs , I prefer dogs .	11	prefer-dogs	<	N
8959	I do not like dogs , I prefer bulldogs .	11	prefer-dogs	>	N
8960	I do not like beagles , I prefer cats .	12	prefer-dogs	NR	Y
8961	I do not like cats , I prefer beagles .	12	prefer-dogs	NR*	Y
8962	I do not like beagles , I prefer dogs .	12	prefer-dogs	<	N
8963	I do not like dogs , I prefer beagles .	12	prefer-dogs	>	N
8964	I do not like beagles , I prefer hamsters .	13	prefer-dogs	NR	Y
8965	I do not like hamsters , I prefer beagles .	13	prefer-dogs	NR*	Y
8966	I do not like beagles , I prefer dogs .	13	prefer-dogs	<	N
8967	I do not like dogs , I prefer beagles .	13	prefer-dogs	>	N
8968	I do not like beagles , I prefer parrots .	14	prefer-dogs	NR	Y
8969	I do not like parrots , I prefer beagles .	14	prefer-dogs	NR*	Y
8970	I do not like beagles , I prefer dogs .	14	prefer-dogs	<	N
8971	I do not like dogs , I prefer beagles .	14	prefer-dogs	>	N
8972	I do not like beagles , I prefer birds .	15	prefer-dogs	NR	Y
8973	I do not like birds , I prefer beagles .	15	prefer-dogs	NR*	Y
8974	I do not like beagles , I prefer dogs .	15	prefer-dogs	<	N
8975	I do not like dogs , I prefer beagles .	15	prefer-dogs	>	N
8976	I do not like parrots , I prefer cats .	0	prefer-birds	NR	Y
8977	I do not like cats , I prefer parrots .	0	prefer-birds	NR*	Y
8978	I do not like parrots , I prefer birds .	0	prefer-birds	<	N
8979	I do not like birds , I prefer parrots .	0	prefer-birds	>	N
8980	I do not like parrots , I prefer hamsters .	1	prefer-birds	NR	Y
8981	I do not like hamsters , I prefer parrots .	1	prefer-birds	NR*	Y
8982	I do not like parrots , I prefer birds .	1	prefer-birds	<	N
8983	I do not like birds , I prefer parrots .	1	prefer-birds	>	N
8984	I do not like parrots , I prefer pigs .	2	prefer-birds	NR	Y
8985	I do not like pigs , I prefer parrots .	2	prefer-birds	NR*	Y
8986	I do not like parrots , I prefer birds .	2	prefer-birds	<	N
8987	I do not like birds , I prefer parrots .	2	prefer-birds	>	N
8988	I do not like parrots , I prefer dogs .	3	prefer-birds	NR	Y
8989	I do not like dogs , I prefer parrots .	3	prefer-birds	NR*	Y
8990	I do not like parrots , I prefer birds .	3	prefer-birds	<	N
8991	I do not like birds , I prefer parrots .	3	prefer-birds	>	N
8992	I do not like ducks , I prefer cats .	4	prefer-birds	NR	Y
8993	I do not like cats , I prefer ducks .	4	prefer-birds	NR*	Y
8994	I do not like ducks , I prefer birds .	4	prefer-birds	<	N
8995	I do not like birds , I prefer ducks .	4	prefer-birds	>	N
8996	I do not like ducks , I prefer hamsters .	5	prefer-birds	NR	Y
8997	I do not like hamsters , I prefer ducks .	5	prefer-birds	NR*	Y
8998	I do not like ducks , I prefer birds .	5	prefer-birds	<	N
8999	I do not like birds , I prefer ducks .	5	prefer-birds	>	N
9000	I do not like ducks , I prefer pigs .	6	prefer-birds	NR	Y
9001	I do not like pigs , I prefer ducks .	6	prefer-birds	NR*	Y
9002	I do not like ducks , I prefer birds .	6	prefer-birds	<	N
9003	I do not like birds , I prefer ducks .	6	prefer-birds	>	N
9004	I do not like ducks , I prefer dogs .	7	prefer-birds	NR	Y
9005	I do not like dogs , I prefer ducks .	7	prefer-birds	NR*	Y
9006	I do not like ducks , I prefer birds .	7	prefer-birds	<	N
9007	I do not like birds , I prefer ducks .	7	prefer-birds	>	N
9008	I do not like blackbirds , I prefer cats .	8	prefer-birds	NR	Y
9009	I do not like cats , I prefer blackbirds .	8	prefer-birds	NR*	Y
9010	I do not like blackbirds , I prefer birds .	8	prefer-birds	<	N
9011	I do not like birds , I prefer blackbirds .	8	prefer-birds	>	N
9012	I do not like blackbirds , I prefer hamsters .	9	prefer-birds	NR	Y
9013	I do not like hamsters , I prefer blackbirds .	9	prefer-birds	NR*	Y
9014	I do not like blackbirds , I prefer birds .	9	prefer-birds	<	N
9015	I do not like birds , I prefer blackbirds .	9	prefer-birds	>	N
9016	I do not like blackbirds , I prefer pigs .	10	prefer-birds	NR	Y
9017	I do not like pigs , I prefer blackbirds .	10	prefer-birds	NR*	Y
9018	I do not like blackbirds , I prefer birds .	10	prefer-birds	<	N
9019	I do not like birds , I prefer blackbirds .	10	prefer-birds	>	N
9020	I do not like blackbirds , I prefer dogs .	11	prefer-birds	NR	Y
9021	I do not like dogs , I prefer blackbirds .	11	prefer-birds	NR*	Y
9022	I do not like blackbirds , I prefer birds .	11	prefer-birds	<	N
9023	I do not like birds , I prefer blackbirds .	11	prefer-birds	>	N
9024	I do not like sparrows , I prefer cats .	12	prefer-birds	NR	Y
9025	I do not like cats , I prefer sparrows .	12	prefer-birds	NR*	Y
9026	I do not like sparrows , I prefer birds .	12	prefer-birds	<	N
9027	I do not like birds , I prefer sparrows .	12	prefer-birds	>	N
9028	I do not like sparrows , I prefer hamsters .	13	prefer-birds	NR	Y
9029	I do not like hamsters , I prefer sparrows .	13	prefer-birds	NR*	Y
9030	I do not like sparrows , I prefer birds .	13	prefer-birds	<	N
9031	I do not like birds , I prefer sparrows .	13	prefer-birds	>	N
9032	I do not like sparrows , I prefer pigs .	14	prefer-birds	NR	Y
9033	I do not like pigs , I prefer sparrows .	14	prefer-birds	NR*	Y
9034	I do not like sparrows , I prefer birds .	14	prefer-birds	<	N
9035	I do not like birds , I prefer sparrows .	14	prefer-birds	>	N
9036	I do not like sparrows , I prefer dogs .	15	prefer-birds	NR	Y
9037	I do not like dogs , I prefer sparrows .	15	prefer-birds	NR*	Y
9038	I do not like sparrows , I prefer birds .	15	prefer-birds	<	N
9039	I do not like birds , I prefer sparrows .	15	prefer-birds	>	N
9040	I do not like cats , I prefer reptiles .	0	prefer-mammals	NR	Y
9041	I do not like reptiles , I prefer cats .	0	prefer-mammals	NR*	Y
9042	I do not like cats , I prefer mammals .	0	prefer-mammals	<	N
9043	I do not like mammals , I prefer cats .	0	prefer-mammals	>	N
9044	I do not like cats , I prefer birds .	1	prefer-mammals	NR	Y
9045	I do not like birds , I prefer cats .	1	prefer-mammals	NR*	Y
9046	I do not like cats , I prefer mammals .	1	prefer-mammals	<	N
9047	I do not like mammals , I prefer cats .	1	prefer-mammals	>	N
9048	I do not like cats , I prefer insects .	2	prefer-mammals	NR	Y
9049	I do not like insects , I prefer cats .	2	prefer-mammals	NR*	Y
9050	I do not like cats , I prefer mammals .	2	prefer-mammals	<	N
9051	I do not like mammals , I prefer cats .	2	prefer-mammals	>	N
9052	I do not like cats , I prefer frogs .	3	prefer-mammals	NR	Y
9053	I do not like frogs , I prefer cats .	3	prefer-mammals	NR*	Y
9054	I do not like cats , I prefer mammals .	3	prefer-mammals	<	N
9055	I do not like mammals , I prefer cats .	3	prefer-mammals	>	N
9056	I do not like dogs , I prefer reptiles .	4	prefer-mammals	NR	Y
9057	I do not like reptiles , I prefer dogs .	4	prefer-mammals	NR*	Y
9058	I do not like dogs , I prefer mammals .	4	prefer-mammals	<	N
9059	I do not like mammals , I prefer dogs .	4	prefer-mammals	>	N
9060	I do not like dogs , I prefer birds .	5	prefer-mammals	NR	Y
9061	I do not like birds , I prefer dogs .	5	prefer-mammals	NR*	Y
9062	I do not like dogs , I prefer mammals .	5	prefer-mammals	<	N
9063	I do not like mammals , I prefer dogs .	5	prefer-mammals	>	N
9064	I do not like dogs , I prefer insects .	6	prefer-mammals	NR	Y
9065	I do not like insects , I prefer dogs .	6	prefer-mammals	NR*	Y
9066	I do not like dogs , I prefer mammals .	6	prefer-mammals	<	N
9067	I do not like mammals , I prefer dogs .	6	prefer-mammals	>	N
9068	I do not like dogs , I prefer frogs .	7	prefer-mammals	NR	Y
9069	I do not like frogs , I prefer dogs .	7	prefer-mammals	NR*	Y
9070	I do not like dogs , I prefer mammals .	7	prefer-mammals	<	N
9071	I do not like mammals , I prefer dogs .	7	prefer-mammals	>	N
9072	I do not like horses , I prefer reptiles .	8	prefer-mammals	NR	Y
9073	I do not like reptiles , I prefer horses .	8	prefer-mammals	NR*	Y
9074	I do not like horses , I prefer mammals .	8	prefer-mammals	<	N
9075	I do not like mammals , I prefer horses .	8	prefer-mammals	>	N
9076	I do not like horses , I prefer birds .	9	prefer-mammals	NR	Y
9077	I do not like birds , I prefer horses .	9	prefer-mammals	NR*	Y
9078	I do not like horses , I prefer mammals .	9	prefer-mammals	<	N
9079	I do not like mammals , I prefer horses .	9	prefer-mammals	>	N
9080	I do not like horses , I prefer insects .	10	prefer-mammals	NR	Y
9081	I do not like insects , I prefer horses .	10	prefer-mammals	NR*	Y
9082	I do not like horses , I prefer mammals .	10	prefer-mammals	<	N
9083	I do not like mammals , I prefer horses .	10	prefer-mammals	>	N
9084	I do not like horses , I prefer frogs .	11	prefer-mammals	NR	Y
9085	I do not like frogs , I prefer horses .	11	prefer-mammals	NR*	Y
9086	I do not like horses , I prefer mammals .	11	prefer-mammals	<	N
9087	I do not like mammals , I prefer horses .	11	prefer-mammals	>	N
9088	I do not like cows , I prefer reptiles .	12	prefer-mammals	NR	Y
9089	I do not like reptiles , I prefer cows .	12	prefer-mammals	NR*	Y
9090	I do not like cows , I prefer mammals .	12	prefer-mammals	<	N
9091	I do not like mammals , I prefer cows .	12	prefer-mammals	>	N
9092	I do not like cows , I prefer birds .	13	prefer-mammals	NR	Y
9093	I do not like birds , I prefer cows .	13	prefer-mammals	NR*	Y
9094	I do not like cows , I prefer mammals .	13	prefer-mammals	<	N
9095	I do not like mammals , I prefer cows .	13	prefer-mammals	>	N
9096	I do not like cows , I prefer insects .	14	prefer-mammals	NR	Y
9097	I do not like insects , I prefer cows .	14	prefer-mammals	NR*	Y
9098	I do not like cows , I prefer mammals .	14	prefer-mammals	<	N
9099	I do not like mammals , I prefer cows .	14	prefer-mammals	>	N
9100	I do not like cows , I prefer frogs .	15	prefer-mammals	NR	Y
9101	I do not like frogs , I prefer cows .	15	prefer-mammals	NR*	Y
9102	I do not like cows , I prefer mammals .	15	prefer-mammals	<	N
9103	I do not like mammals , I prefer cows .	15	prefer-mammals	>	N
9104	I do not like Volvos , I prefer motorcycles .	0	prefer-cars	NR	Y
9105	I do not like motorcycles , I prefer Volvos .	0	prefer-cars	NR*	Y
9106	I do not like Volvos , I prefer cars .	0	prefer-cars	<	N
9107	I do not like cars , I prefer Volvos .	0	prefer-cars	>	N
9108	I do not like Volvos , I prefer bicycles .	1	prefer-cars	NR	Y
9109	I do not like bicycles , I prefer Volvos .	1	prefer-cars	NR*	Y
9110	I do not like Volvos , I prefer cars .	1	prefer-cars	<	N
9111	I do not like cars , I prefer Volvos .	1	prefer-cars	>	N
9112	I do not like Volvos , I prefer trains .	2	prefer-cars	NR	Y
9113	I do not like trains , I prefer Volvos .	2	prefer-cars	NR*	Y
9114	I do not like Volvos , I prefer cars .	2	prefer-cars	<	N
9115	I do not like cars , I prefer Volvos .	2	prefer-cars	>	N
9116	I do not like Volvos , I prefer airplanes .	3	prefer-cars	NR	Y
9117	I do not like planes , I prefer Volvos .	3	prefer-cars	NR*	Y
9118	I do not like Volvos , I prefer cars .	3	prefer-cars	<	N
9119	I do not like cars , I prefer Volvos .	3	prefer-cars	>	N
9120	I do not like Skodas , I prefer motorcycles .	4	prefer-cars	NR	Y
9121	I do not like motorcycles , I prefer Skodas .	4	prefer-cars	NR*	Y
9122	I do not like Skodas , I prefer cars .	4	prefer-cars	<	N
9123	I do not like cars , I prefer Skodas .	4	prefer-cars	>	N
9124	I do not like Skodas , I prefer bicycles .	5	prefer-cars	NR	Y
9125	I do not like bicycles , I prefer Skodas .	5	prefer-cars	NR*	Y
9126	I do not like Skodas , I prefer cars .	5	prefer-cars	<	N
9127	I do not like cars , I prefer Skodas .	5	prefer-cars	>	N
9128	I do not like Skodas , I prefer trains .	6	prefer-cars	NR	Y
9129	I do not like trains , I prefer Skodas .	6	prefer-cars	NR*	Y
9130	I do not like Skodas , I prefer cars .	6	prefer-cars	<	N
9131	I do not like cars , I prefer Skodas .	6	prefer-cars	>	N
9132	I do not like Skodas , I prefer airplanes .	7	prefer-cars	NR	Y
9133	I do not like planes , I prefer Skodas .	7	prefer-cars	NR*	Y
9134	I do not like Skodas , I prefer cars .	7	prefer-cars	<	N
9135	I do not like cars , I prefer Skodas .	7	prefer-cars	>	N
9136	I do not like Ferraris , I prefer motorcycles .	8	prefer-cars	NR	Y
9137	I do not like motorcycles , I prefer Ferraris .	8	prefer-cars	NR*	Y
9138	I do not like Ferraris , I prefer cars .	8	prefer-cars	<	N
9139	I do not like cars , I prefer Ferraris .	8	prefer-cars	>	N
9140	I do not like Ferraris , I prefer bicycles .	9	prefer-cars	NR	Y
9141	I do not like bicycles , I prefer Ferraris .	9	prefer-cars	NR*	Y
9142	I do not like Ferraris , I prefer cars .	9	prefer-cars	<	N
9143	I do not like cars , I prefer Ferraris .	9	prefer-cars	>	N
9144	I do not like Ferraris , I prefer trains .	10	prefer-cars	NR	Y
9145	I do not like trains , I prefer Ferraris .	10	prefer-cars	NR*	Y
9146	I do not like Ferraris , I prefer cars .	10	prefer-cars	<	N
9147	I do not like cars , I prefer Ferraris .	10	prefer-cars	>	N
9148	I do not like Ferraris , I prefer airplanes .	11	prefer-cars	NR	Y
9149	I do not like planes , I prefer Ferraris .	11	prefer-cars	NR*	Y
9150	I do not like Ferraris , I prefer cars .	11	prefer-cars	<	N
9151	I do not like cars , I prefer Ferraris .	11	prefer-cars	>	N
9152	I do not like Fords , I prefer motorcycles .	12	prefer-cars	NR	Y
9153	I do not like motorcycles , I prefer Fords .	12	prefer-cars	NR*	Y
9154	I do not like Fords , I prefer cars .	12	prefer-cars	<	N
9155	I do not like cars , I prefer Fords .	12	prefer-cars	>	N
9156	I do not like Fords , I prefer bicycles .	13	prefer-cars	NR	Y
9157	I do not like bicycles , I prefer Fords .	13	prefer-cars	NR*	Y
9158	I do not like Fords , I prefer cars .	13	prefer-cars	<	N
9159	I do not like cars , I prefer Fords .	13	prefer-cars	>	N
9160	I do not like Fords , I prefer trains .	14	prefer-cars	NR	Y
9161	I do not like trains , I prefer Fords .	14	prefer-cars	NR*	Y
9162	I do not like Fords , I prefer cars .	14	prefer-cars	<	N
9163	I do not like cars , I prefer Fords .	14	prefer-cars	>	N
9164	I do not like Fords , I prefer airplanes .	15	prefer-cars	NR	Y
9165	I do not like planes , I prefer Fords .	15	prefer-cars	NR*	Y
9166	I do not like Fords , I prefer cars .	15	prefer-cars	<	N
9167	I do not like cars , I prefer Fords .	15	prefer-cars	>	N
9168	I do not like Harley-Davidson , I prefer cars .	0	prefer-motorcycles	NR	Y
9169	I do not like cars , I prefer Harley-Davidson .	0	prefer-motorcycles	NR*	Y
9170	I do not like Harley-Davidson , I prefer motorcycles .	0	prefer-motorcycles	<	N
9171	I do not like motorcycles , I prefer Harley-Davidson .	0	prefer-motorcycles	>	N
9172	I do not like Harley-Davidson , I prefer bicycles .	1	prefer-motorcycles	NR	Y
9173	I do not like bicycles , I prefer Harley-Davidson .	1	prefer-motorcycles	NR*	Y
9174	I do not like Harley-Davidson , I prefer motorcycles .	1	prefer-motorcycles	<	N
9175	I do not like motorcycles , I prefer Harley-Davidson .	1	prefer-motorcycles	>	N
9176	I do not like Harley-Davidson , I prefer trains .	2	prefer-motorcycles	NR	Y
9177	I do not like trains , I prefer Harley-Davidson .	2	prefer-motorcycles	NR*	Y
9178	I do not like Harley-Davidson , I prefer motorcycles .	2	prefer-motorcycles	<	N
9179	I do not like motorcycles , I prefer Harley-Davidson .	2	prefer-motorcycles	>	N
9180	I do not like Harley-Davidson , I prefer airplanes .	3	prefer-motorcycles	NR	Y
9181	I do not like planes , I prefer Harley-Davidson .	3	prefer-motorcycles	NR*	Y
9182	I do not like Harley-Davidson , I prefer motorcycles .	3	prefer-motorcycles	<	N
9183	I do not like motorcycles , I prefer Harley-Davidson .	3	prefer-motorcycles	>	N
9184	I do not like Suzukis , I prefer cars .	4	prefer-motorcycles	NR	Y
9185	I do not like cars , I prefer Suzukis .	4	prefer-motorcycles	NR*	Y
9186	I do not like Suzukis , I prefer motorcycles .	4	prefer-motorcycles	<	N
9187	I do not like motorcycles , I prefer Suzukis .	4	prefer-motorcycles	>	N
9188	I do not like Suzukis , I prefer bicycles .	5	prefer-motorcycles	NR	Y
9189	I do not like bicycles , I prefer Suzukis .	5	prefer-motorcycles	NR*	Y
9190	I do not like Suzukis , I prefer motorcycles .	5	prefer-motorcycles	<	N
9191	I do not like motorcycles , I prefer Suzukis .	5	prefer-motorcycles	>	N
9192	I do not like Suzukis , I prefer trains .	6	prefer-motorcycles	NR	Y
9193	I do not like trains , I prefer Suzukis .	6	prefer-motorcycles	NR*	Y
9194	I do not like Suzukis , I prefer motorcycles .	6	prefer-motorcycles	<	N
9195	I do not like motorcycles , I prefer Suzukis .	6	prefer-motorcycles	>	N
9196	I do not like Suzukis , I prefer airplanes .	7	prefer-motorcycles	NR	Y
9197	I do not like planes , I prefer Suzukis .	7	prefer-motorcycles	NR*	Y
9198	I do not like Suzukis , I prefer motorcycles .	7	prefer-motorcycles	<	N
9199	I do not like motorcycles , I prefer Suzukis .	7	prefer-motorcycles	>	N
9200	I do not like enduros , I prefer cars .	8	prefer-motorcycles	NR	Y
9201	I do not like cars , I prefer enduros .	8	prefer-motorcycles	NR*	Y
9202	I do not like enduros , I prefer motorcycles .	8	prefer-motorcycles	<	N
9203	I do not like motorcycles , I prefer enduros .	8	prefer-motorcycles	>	N
9204	I do not like enduros , I prefer bicycles .	9	prefer-motorcycles	NR	Y
9205	I do not like bicycles , I prefer enduros .	9	prefer-motorcycles	NR*	Y
9206	I do not like enduros , I prefer motorcycles .	9	prefer-motorcycles	<	N
9207	I do not like motorcycles , I prefer enduros .	9	prefer-motorcycles	>	N
9208	I do not like enduros , I prefer trains .	10	prefer-motorcycles	NR	Y
9209	I do not like trains , I prefer enduros .	10	prefer-motorcycles	NR*	Y
9210	I do not like enduros , I prefer motorcycles .	10	prefer-motorcycles	<	N
9211	I do not like motorcycles , I prefer enduros .	10	prefer-motorcycles	>	N
9212	I do not like enduros , I prefer airplanes .	11	prefer-motorcycles	NR	Y
9213	I do not like planes , I prefer enduros .	11	prefer-motorcycles	NR*	Y
9214	I do not like enduros , I prefer motorcycles .	11	prefer-motorcycles	<	N
9215	I do not like motorcycles , I prefer enduros .	11	prefer-motorcycles	>	N
9216	I do not like Kawasakis , I prefer cars .	12	prefer-motorcycles	NR	Y
9217	I do not like cars , I prefer Kawasakis .	12	prefer-motorcycles	NR*	Y
9218	I do not like Kawasakis , I prefer motorcycles .	12	prefer-motorcycles	<	N
9219	I do not like motorcycles , I prefer Kawasakis .	12	prefer-motorcycles	>	N
9220	I do not like Kawasakis , I prefer bicycles .	13	prefer-motorcycles	NR	Y
9221	I do not like bicycles , I prefer Kawasakis .	13	prefer-motorcycles	NR*	Y
9222	I do not like Kawasakis , I prefer motorcycles .	13	prefer-motorcycles	<	N
9223	I do not like motorcycles , I prefer Kawasakis .	13	prefer-motorcycles	>	N
9224	I do not like Kawasakis , I prefer trains .	14	prefer-motorcycles	NR	Y
9225	I do not like trains , I prefer Kawasakis .	14	prefer-motorcycles	NR*	Y
9226	I do not like Kawasakis , I prefer motorcycles .	14	prefer-motorcycles	<	N
9227	I do not like motorcycles , I prefer Kawasakis .	14	prefer-motorcycles	>	N
9228	I do not like Kawasakis , I prefer airplanes .	15	prefer-motorcycles	NR	Y
9229	I do not like planes , I prefer Kawasakis .	15	prefer-motorcycles	NR*	Y
9230	I do not like Kawasakis , I prefer motorcycles .	15	prefer-motorcycles	<	N
9231	I do not like motorcycles , I prefer Kawasakis .	15	prefer-motorcycles	>	N
9232	I do not like forks , I prefer plates .	0	prefer-cutlery	NR	Y
9233	I do not like plates , I prefer forks .	0	prefer-cutlery	NR*	Y
9234	I do not like forks , I prefer cutlery .	0	prefer-cutlery	<	N
9235	I do not like cutlery , I prefer forks .	0	prefer-cutlery	>	N
9236	I do not like forks , I prefer glasses .	1	prefer-cutlery	NR	Y
9237	I do not like glasses , I prefer forks .	1	prefer-cutlery	NR*	Y
9238	I do not like forks , I prefer cutlery .	1	prefer-cutlery	<	N
9239	I do not like cutlery , I prefer forks .	1	prefer-cutlery	>	N
9240	I do not like forks , I prefer pitchers .	2	prefer-cutlery	NR	Y
9241	I do not like pitchers , I prefer forks .	2	prefer-cutlery	NR*	Y
9242	I do not like forks , I prefer cutlery .	2	prefer-cutlery	<	N
9243	I do not like cutlery , I prefer forks .	2	prefer-cutlery	>	N
9244	I do not like spoons , I prefer plates .	3	prefer-cutlery	NR	Y
9245	I do not like plates , I prefer spoons .	3	prefer-cutlery	NR*	Y
9246	I do not like spoons , I prefer cutlery .	3	prefer-cutlery	<	N
9247	I do not like cutlery , I prefer spoons .	3	prefer-cutlery	>	N
9248	I do not like spoons , I prefer glasses .	4	prefer-cutlery	NR	Y
9249	I do not like glasses , I prefer spoons .	4	prefer-cutlery	NR*	Y
9250	I do not like spoons , I prefer cutlery .	4	prefer-cutlery	<	N
9251	I do not like cutlery , I prefer spoons .	4	prefer-cutlery	>	N
9252	I do not like spoons , I prefer pitchers .	5	prefer-cutlery	NR	Y
9253	I do not like pitchers , I prefer spoons .	5	prefer-cutlery	NR*	Y
9254	I do not like spoons , I prefer cutlery .	5	prefer-cutlery	<	N
9255	I do not like cutlery , I prefer spoons .	5	prefer-cutlery	>	N
9256	I do not like knives , I prefer plates .	6	prefer-cutlery	NR	Y
9257	I do not like plates , I prefer knives .	6	prefer-cutlery	NR*	Y
9258	I do not like knives , I prefer cutlery .	6	prefer-cutlery	<	N
9259	I do not like cutlery , I prefer knives .	6	prefer-cutlery	>	N
9260	I do not like knives , I prefer glasses .	7	prefer-cutlery	NR	Y
9261	I do not like glasses , I prefer knives .	7	prefer-cutlery	NR*	Y
9262	I do not like knives , I prefer cutlery .	7	prefer-cutlery	<	N
9263	I do not like cutlery , I prefer knives .	7	prefer-cutlery	>	N
9264	I do not like knives , I prefer pitchers .	8	prefer-cutlery	NR	Y
9265	I do not like pitchers , I prefer knives .	8	prefer-cutlery	NR*	Y
9266	I do not like knives , I prefer cutlery .	8	prefer-cutlery	<	N
9267	I do not like cutlery , I prefer knives .	8	prefer-cutlery	>	N
9268	I do not like shirts , I prefer dogs .	0	prefer-jewelry	NR	Y
9269	I do not like dogs , I prefer shirts .	0	prefer-jewelry	NR*	Y
9270	I do not like shirts , I prefer clothes .	0	prefer-jewelry	<	N
9271	I do not like clothes , I prefer shirts .	0	prefer-jewelry	>	N
9272	I do not like shirts , I prefer jewelry .	1	prefer-jewelry	NR	Y
9273	I do not like jewelry , I prefer shirts .	1	prefer-jewelry	NR*	Y
9274	I do not like shirts , I prefer clothes .	1	prefer-jewelry	<	N
9275	I do not like clothes , I prefer shirts .	1	prefer-jewelry	>	N
9276	I do not like shirts , I prefer traveling .	2	prefer-jewelry	NR	Y
9277	I do not like traveling , I prefer shirts .	2	prefer-jewelry	NR*	Y
